交通位置,参考价格,建成时间,建筑风格,所在小区,所属区县,网址
"
近地铁9号线商城路站
",91058元/m2,,/ 2002年建成,陆家嘴,浦东,https://sh.lianjia.com/xiaoqu/5011000017872/
"
近地铁6号线临沂新村站
",70426元/m2,,/ 2005年建成,南码头,浦东,https://sh.lianjia.com/xiaoqu/5011000017671/
"
近地铁11号线(嘉定北-迪士尼)浦三路站
",62026元/m2,,/ 2006年建成,三林,浦东,https://sh.lianjia.com/xiaoqu/5011000015945/
"
近地铁11号线(嘉定北-迪士尼)御桥站
",51982元/m2,,/ 2010年建成,御桥,浦东,https://sh.lianjia.com/xiaoqu/5011000014035/
"
近地铁13号线陈春路站
",47026元/m2,,/ 1991年建成,北蔡,浦东,https://sh.lianjia.com/xiaoqu/5011000014388/
"
近地铁2号线世纪大道站
",98386元/m2,,/ 1982年建成,潍坊,浦东,https://sh.lianjia.com/xiaoqu/5011000015069/
"
",40013元/m2,,/ 2005年建成,康桥,浦东,https://sh.lianjia.com/xiaoqu/5011000012222/
"
近地铁2号线世纪大道站
",97483元/m2,,/ 1983年建成,潍坊,浦东,https://sh.lianjia.com/xiaoqu/5011000013930/
"
近地铁2号线世纪大道站
",78615元/m2,,/ 1987年建成,源深,浦东,https://sh.lianjia.com/xiaoqu/5011000015678/
"
近地铁16号线罗山路站
",50712元/m2,,/ 2007年建成,御桥,浦东,https://sh.lianjia.com/xiaoqu/5011000013546/
"
近地铁6号线源深体育中心站
",63100元/m2,,/ 1989年建成,源深,浦东,https://sh.lianjia.com/xiaoqu/5011000012986/
"
近地铁2号线世纪公园站
",43294元/m2,,/ 2002年建成,花木,浦东,https://sh.lianjia.com/xiaoqu/5011000017281/
"
",50919元/m2,,/ 2011年建成,三林,浦东,https://sh.lianjia.com/xiaoqu/5011000008858/
"
近地铁2号线龙阳路站
",73632元/m2,,/ 2000年建成,北蔡,浦东,https://sh.lianjia.com/xiaoqu/5011000018309/
"
近地铁2号线广兰路站
",59442元/m2,,/ 2000年建成,张江,浦东,https://sh.lianjia.com/xiaoqu/5011000016407/
"
",44917元/m2,,/ 2004年建成,康桥,浦东,https://sh.lianjia.com/xiaoqu/5011000017528/
"
近地铁7号线杨高南路站
",81350元/m2,,/ 2012年建成,世博,浦东,https://sh.lianjia.com/xiaoqu/5011000009845/
"
近地铁6号线巨峰路站
",60208元/m2,,/ 2005年建成,金桥,浦东,https://sh.lianjia.com/xiaoqu/5011000012310/
"
近地铁9号线蓝天路站
",80464元/m2,,/ 2003年建成,碧云,浦东,https://sh.lianjia.com/xiaoqu/5011000015037/
"
近地铁6号线云山路站
",49402元/m2,,/ 1995年建成,金杨,浦东,https://sh.lianjia.com/xiaoqu/5011000014777/
"
",36794元/m2,,/ 2009年建成,康桥,浦东,https://sh.lianjia.com/xiaoqu/5011000009038/
"
近地铁6号线博兴路站
",57227元/m2,,/ 1998年建成,金桥,浦东,https://sh.lianjia.com/xiaoqu/5011000013188/
"
近地铁6号线云山路站
",52502元/m2,,/ 1995年建成,金杨,浦东,https://sh.lianjia.com/xiaoqu/5011000013466/
"
近地铁6号线东方体育中心站
",63197元/m2,,/ 2001年建成,杨思前滩,浦东,https://sh.lianjia.com/xiaoqu/5011000013644/
"
近地铁11号线(嘉定北-迪士尼)浦三路站
",59005元/m2,,/ 2006年建成,三林,浦东,https://sh.lianjia.com/xiaoqu/5011000012368/
"
近地铁2号线东昌路站
",103934元/m2,,/ 1998年建成,陆家嘴,浦东,https://sh.lianjia.com/xiaoqu/5011000017860/
"
近地铁9号线商城路站
",87754元/m2,,/ 2002年建成,陆家嘴,浦东,https://sh.lianjia.com/xiaoqu/5011000018114/
"
近地铁2号线广兰路站
",64416元/m2,,/ 2007年建成,张江,浦东,https://sh.lianjia.com/xiaoqu/5011000013723/
"
近地铁8号线杨思站
",65777元/m2,,/ 2007年建成,杨思前滩,浦东,https://sh.lianjia.com/xiaoqu/5011000013248/
"
近地铁6号线东明路站
",53944元/m2,,/ 1994年建成,世博,浦东,https://sh.lianjia.com/xiaoqu/5011000004155/
"
",35318元/m2,,/ 2001年建成,莘庄,闵行,https://sh.lianjia.com/xiaoqu/5011102207057/
"
",63526元/m2,,/ 2002年建成,莘庄,闵行,https://sh.lianjia.com/xiaoqu/5011000017605/
"
近地铁9号线七宝站
",50130元/m2,,/ 1994年建成,七宝,闵行,https://sh.lianjia.com/xiaoqu/5011000018313/
"
",45357元/m2,,/ 2006年建成,春申,闵行,https://sh.lianjia.com/xiaoqu/5011000014004/
"
",38970元/m2,,/ 1994年建成,春申,闵行,https://sh.lianjia.com/xiaoqu/5011000011738/
"
近地铁9号线七宝站
",暂无,,/ 1994年建成,七宝,闵行,https://sh.lianjia.com/xiaoqu/509821540319368/
"
",28842元/m2,,/ 2013年建成,浦江,闵行,https://sh.lianjia.com/xiaoqu/5011000001388/
"
",57233元/m2,,/ 2000年建成,春申,闵行,https://sh.lianjia.com/xiaoqu/5011000015954/
"
近地铁10号线(新江湾城-虹桥火车站)宋园路站
",55893元/m2,,/ 1995年建成,金虹桥,闵行,https://sh.lianjia.com/xiaoqu/5011000016237/
"
近地铁浦江线浦航路站
",33328元/m2,,/ 2010年建成,浦江,闵行,https://sh.lianjia.com/xiaoqu/5011000010872/
"
近地铁浦江线三鲁公路站
",30298元/m2,,/ 2010年建成,浦江,闵行,https://sh.lianjia.com/xiaoqu/5020026850247553/
"
",29721元/m2,,/ 2014年建成,浦江,闵行,https://sh.lianjia.com/xiaoqu/5011000009006/
"
",32342元/m2,,/ 2006年建成,老闵行,闵行,https://sh.lianjia.com/xiaoqu/5011000017935/
"
近地铁5号线春申路站
",49040元/m2,,/ 2007年建成,莘庄,闵行,https://sh.lianjia.com/xiaoqu/5011000012320/
"
近地铁浦江线浦航路站
",34398元/m2,,/ 2013年建成,浦江,闵行,https://sh.lianjia.com/xiaoqu/5011000003476/
"
近地铁9号线合川路站
",74868元/m2,,/ 2006年建成,静安新城,闵行,https://sh.lianjia.com/xiaoqu/5011000012246/
"
",50360元/m2,,/ 1996年建成,春申,闵行,https://sh.lianjia.com/xiaoqu/5011000014981/
"
近地铁9号线合川路站
",68064元/m2,,/ 2001年建成,静安新城,闵行,https://sh.lianjia.com/xiaoqu/5011000003672/
"
近地铁10号线(新江湾城-虹桥火车站)水城路站
",63285元/m2,,/ 1997年建成,金虹桥,闵行,https://sh.lianjia.com/xiaoqu/5011000018067/
"
近地铁9号线七宝站
",54398元/m2,,/ 2005年建成,七宝,闵行,https://sh.lianjia.com/xiaoqu/5011000012925/
"
近地铁浦江线闵瑞路站
",32205元/m2,,/ 2008年建成,浦江,闵行,https://sh.lianjia.com/xiaoqu/5011000005028/
"
近地铁12号线虹梅路站
",71759元/m2,,/ 2005年建成,古美,闵行,https://sh.lianjia.com/xiaoqu/5011000013178/
"
近地铁浦江线浦航路站
",31838元/m2,,/ 2011年建成,浦江,闵行,https://sh.lianjia.com/xiaoqu/5011000009873/
"
近地铁9号线七宝站
",58969元/m2,,/ 2010年建成,七宝,闵行,https://sh.lianjia.com/xiaoqu/5011000005191/
"
近地铁12号线顾戴路站
",65010元/m2,,/ 2004年建成,古美,闵行,https://sh.lianjia.com/xiaoqu/5011000012423/
"
近地铁1号线锦江乐园站
",44242元/m2,,/ 1980年建成,梅陇,闵行,https://sh.lianjia.com/xiaoqu/5011000015394/
"
",43872元/m2,,/ 2014年建成,老闵行,闵行,https://sh.lianjia.com/xiaoqu/5011000001987/
"
近地铁1号线莲花路站
",51398元/m2,,/ 1993年建成,古美,闵行,https://sh.lianjia.com/xiaoqu/5011000014585/
"
近地铁浦江线浦航路站
",32873元/m2,,/ 2012年建成,浦江,闵行,https://sh.lianjia.com/xiaoqu/5011000005456/
"
近地铁浦江线闵瑞路站
",33357元/m2,,/ 2009年建成,浦江,闵行,https://sh.lianjia.com/xiaoqu/5020026842907284/
"
近地铁7号线行知路站
",49758元/m2,,/ 1997年建成,大华,宝山,https://sh.lianjia.com/xiaoqu/5011000015365/
"
近地铁7号线罗南新村站
",39638元/m2,,/ 2010年建成,罗店,宝山,https://sh.lianjia.com/xiaoqu/5011000014874/
"
近地铁3号线长江南路站
",53797元/m2,,/ 2005年建成,高境,宝山,https://sh.lianjia.com/xiaoqu/5011000012603/
"
",43093元/m2,,/ 2008年建成,上大,宝山,https://sh.lianjia.com/xiaoqu/5011000015995/
"
近地铁1号线共富新村站
",37306元/m2,,/ 1995年建成,共富,宝山,https://sh.lianjia.com/xiaoqu/5011000013618/
"
",46164元/m2,,/ 2014年建成,大华,宝山,https://sh.lianjia.com/xiaoqu/5011000001175/
"
",49326元/m2,,/ 2010年建成,顾村,宝山,https://sh.lianjia.com/xiaoqu/5017954034452644/
"
",37966元/m2,,/ 2008年建成,上大,宝山,https://sh.lianjia.com/xiaoqu/5011000008186/
"
近地铁1号线宝安公路站
",36632元/m2,,/ 1998年建成,杨行,宝山,https://sh.lianjia.com/xiaoqu/5011000012404/
"
",35825元/m2,,/ 2014年建成,顾村,宝山,https://sh.lianjia.com/xiaoqu/5011000000814/
"
近地铁7号线顾村公园站
",53020元/m2,,/ 2012年建成,顾村,宝山,https://sh.lianjia.com/xiaoqu/5011000000130/
"
近地铁1号线宝安公路站
",39566元/m2,,/ 2011年建成,杨行,宝山,https://sh.lianjia.com/xiaoqu/5011000009842/
"
",41421元/m2,,/ 1994年建成,淞南,宝山,https://sh.lianjia.com/xiaoqu/5011000011142/
"
近地铁3号线殷高西路站
",42448元/m2,,/ 1992年建成,高境,宝山,https://sh.lianjia.com/xiaoqu/5011000007031/
"
",52969元/m2,,/ 2008年建成,大华,宝山,https://sh.lianjia.com/xiaoqu/5011000012041/
"
近地铁7号线上海大学站
",46419元/m2,,/ 1998年建成,上大,宝山,https://sh.lianjia.com/xiaoqu/5011000015496/
"
",35521元/m2,,/ 2008年建成,杨行,宝山,https://sh.lianjia.com/xiaoqu/5011000012034/
"
",38919元/m2,,/ 2004年建成,杨行,宝山,https://sh.lianjia.com/xiaoqu/5011000017696/
"
近地铁7号线刘行站
",39426元/m2,,/ 2011年建成,顾村,宝山,https://sh.lianjia.com/xiaoqu/5011102210316/
"
",38381元/m2,,/ 2011年建成,罗店,宝山,https://sh.lianjia.com/xiaoqu/5011000010988/
"
近地铁7号线罗南新村站
",37493元/m2,,/ 2009年建成,罗店,宝山,https://sh.lianjia.com/xiaoqu/5011000011023/
"
",41359元/m2,,/ 2009年建成,杨行,宝山,https://sh.lianjia.com/xiaoqu/5011000014758/
"
近地铁7号线上海大学站
",39893元/m2,,/ 1994年建成,上大,宝山,https://sh.lianjia.com/xiaoqu/5011000014451/
"
近地铁3号线殷高西路站
",41798元/m2,,/ 1994年建成,高境,宝山,https://sh.lianjia.com/xiaoqu/5011000014067/
"
近地铁7号线南陈路站
",50683元/m2,,/ 2009年建成,上大,宝山,https://sh.lianjia.com/xiaoqu/5020022085507610/
"
",46367元/m2,,/ 2010年建成,顾村,宝山,https://sh.lianjia.com/xiaoqu/5017953113780379/
"
",28907元/m2,,/ 1980年建成,月浦,宝山,https://sh.lianjia.com/xiaoqu/5011000000048/
"
",56528元/m2,,/ 2011年建成,大华,宝山,https://sh.lianjia.com/xiaoqu/5011102209227/
"
",50898元/m2,,/ 2005年建成,高境,宝山,https://sh.lianjia.com/xiaoqu/5011000015462/
"
",29894元/m2,,/ 1993年建成,月浦,宝山,https://sh.lianjia.com/xiaoqu/5011000009419/
"
近地铁7号线龙华中路站
",116195元/m2,,/ 2008年建成,徐汇滨江,徐汇,https://sh.lianjia.com/xiaoqu/5011063203505/
"
近地铁11号线(花桥-三林)龙耀路站
",51422元/m2,,/ 1993年建成,龙华,徐汇,https://sh.lianjia.com/xiaoqu/5011000017590/
"
近地铁12号线虹漕路站
",76121元/m2,,/ 2014年建成,漕河泾,徐汇,https://sh.lianjia.com/xiaoqu/5011000002238/
"
",57037元/m2,,/ 2011年建成,华泾,徐汇,https://sh.lianjia.com/xiaoqu/5011000005330/
"
近地铁1号线上海体育馆站
",68789元/m2,,/ 1994年建成,万体馆,徐汇,https://sh.lianjia.com/xiaoqu/5011000013797/
"
近地铁9号线桂林路站
",71534元/m2,,/ 1987年建成,田林,徐汇,https://sh.lianjia.com/xiaoqu/5011000015474/
"
",60958元/m2,,/ 2011年建成,植物园,徐汇,https://sh.lianjia.com/xiaoqu/5011000011265/
"
近地铁1号线漕宝路站
",73887元/m2,,/ 1990年建成,万体馆,徐汇,https://sh.lianjia.com/xiaoqu/5011000016167/
"
",66555元/m2,,/ 2005年建成,长桥,徐汇,https://sh.lianjia.com/xiaoqu/5011000017722/
